"month","GHI_monthly","rh_monthly","temp_monthly","predicted_pv_monthly"
1,2852,64.8002688172043,6.81665322580645,9099.21709677419
2,4005.9010989011,55.5989102564103,9.06370512820513,11910.3375274725
3,4477,51.0919762238696,10.0495519101049,12904.6715668203
4,4869.57011494253,52.5403595576161,12.0162849415628,13712.4296059113
5,5607.56451612903,38.5509236411736,19.0461634559885,14214.7651904762
6,6947.85128205128,50.386932938856,18.2943423323471,15460.1275824176
7,8019.8688172043,43.9188888888889,19.2521157407407,16777.052
8,7604.51827956989,46.1425785024155,19.3604082125604,15973.2041428571
9,6426.46091954023,45.5581896551724,16.1170402298851,14542.0761576355
10,4761,49.4144777265745,14.9335023041475,12449.9091705069
11,4013,64.6379425465838,10.537790200138,10243.4445238095
12,2790.65806451613,63.5464583333333,10.3211041666667,8550.3385
