,GHI,rh,temp,predicted_pv,date_time
0,2541.1612903225805,79.89166666666667,-2.545,8679.672857142856,2019-01-01
1,3193.1612903225805,53.19166666666666,5.242916666666667,11142.87,2019-01-02
2,2096.1612903225805,55.70416666666667,2.6925000000000003,9597.292857142862,2019-01-03
3,3606.161290322581,71.25416666666666,5.2595833333333335,10165.609999999997,2019-01-04
4,3410.1612903225805,33.7875,16.056250000000002,9422.91714285714,2019-01-05
5,2321.1612903225805,38.895833333333336,24.089583333333334,5562.201428571429,2019-01-06
6,2648.1612903225805,37.6125,18.39583333333333,7097.662857142858,2019-01-07
7,3221.1612903225805,29.7625,28.08125,7715.1428571428605,2019-01-08
8,3517.1612903225805,29.825,23.88458333333333,8820.414285714287,2019-01-09
9,1932.1612903225805,31.379166666666663,20.36625,4918.465714285719,2019-01-10
10,2899.1612903225805,64.66250000000001,10.5175,8389.587142857144,2019-01-11
11,2352.1612903225805,72.09166666666667,7.69,6238.285714285715,2019-01-12
12,2073.1612903225805,85.02083333333333,2.23625,7272.507142857146,2019-01-13
13,3284.1612903225805,84.2,1.4333333333333331,14241.385714285705,2019-01-14
14,3486.1612903225805,81.64583333333333,3.16875,10795.602857142861,2019-01-15
15,2122.1612903225805,62.12083333333334,-1.24375,10066.484285714285,2019-01-16
16,2260.1612903225805,60.21666666666667,-0.4479166666666667,9680.915714285711,2019-01-17
17,2317.1612903225805,76.77083333333333,-1.965,8572.288571428568,2019-01-18
18,2929.1612903225805,79.53333333333333,-2.2066666666666666,12091.147142857144,2019-01-19
19,3472.1612903225805,72.21666666666667,1.1004166666666666,14154.281428571425,2019-01-20
20,2346.1612903225805,75.87083333333334,2.1729166666666666,6979.147142857142,2019-01-21
21,2448.1612903225805,75.44166666666666,4.09,6538.267142857142,2019-01-22
22,2228.1612903225805,78.20833333333333,4.4275,7947.199999999998,2019-01-23
23,3363.1612903225805,67.66250000000001,5.122916666666667,9783.065714285705,2019-01-24
24,3600.1612903225805,76.12916666666666,4.98125,10128.401428571427,2019-01-25
25,2194.1612903225805,68.32083333333334,6.16875,6873.721428571431,2019-01-26
26,3732.161290322581,78.1125,4.00125,10542.12,2019-01-27
27,3293.1612903225805,71.07916666666667,4.654583333333333,10606.120000000006,2019-01-28
28,3728.161290322581,70.36666666666666,4.141666666666667,10779.458571428566,2019-01-29
29,3684.161290322581,73.42083333333333,5.095833333333333,10240.804285714283,2019-01-30
30,2112.1612903225805,74.41250000000001,4.652916666666667,7032.688571428574,2019-01-31
31,4196.285714285714,82.53750000000001,1.0870833333333334,13111.452857142864,2019-02-01
32,3749.285714285714,56.9875,4.35125,12297.451428571423,2019-02-02
33,4761.285714285714,55.475,6.23875,15880.65142857143,2019-02-03
34,4309.285714285714,59.15,8.125416666666666,12614.627142857145,2019-02-04
35,3951.285714285714,44.6,15.2675,11655.268571428569,2019-02-05
36,3521.285714285714,37.6625,24.76291666666667,8893.938571428573,2019-02-06
37,3251.285714285714,36.69583333333333,20.387083333333333,7856.607142857144,2019-02-07
38,3524.285714285714,35.96666666666667,27.334166666666665,8893.938571428573,2019-02-08
39,4480.285714285714,29.46666666666667,24.457916666666662,12020.528571428573,2019-02-09
40,4112.285714285714,27.4125,21.1575,11599.584285714287,2019-02-10
41,4008.285714285714,62.01666666666667,8.018333333333333,10776.85285714286,2019-02-11
42,3665.285714285714,66.74166666666666,4.147916666666666,10642.574285714278,2019-02-12
43,3652.285714285714,64.875,6.666250000000001,10453.358571428567,2019-02-13
44,4463.285714285714,65.56666666666666,5.80125,12440.89857142857,2019-02-14
45,4228.285714285714,74.925,2.53125,12504.312857142866,2019-02-15
46,4108.285714285714,63.94583333333333,2.890833333333333,12527.775714285714,2019-02-16
47,3484.285714285714,59.59583333333333,3.931666666666666,10983.60428571428,2019-02-17
48,3881.285714285714,54.39166666666667,5.220416666666667,13543.808571428566,2019-02-18
49,4651.285714285714,55.583333333333336,6.04,15592.341428571423,2019-02-19
50,4317.285714285714,52.145833333333336,6.560416666666666,14005.677142857148,2019-02-20
51,3325.285714285714,48.18333333333334,6.979583333333333,11505.778571428571,2019-02-21
52,4406.285714285714,47.42916666666667,7.249166666666666,14133.432857142869,2019-02-22
53,4584.285714285714,62.09583333333333,5.959166666666667,14233.568571428568,2019-02-23
54,3434.285714285714,70.48333333333333,5.608333333333333,10529.757142857143,2019-02-24
55,3533.285714285714,78.29166666666667,4.444166666666667,10627.834285714289,2019-02-25
58,4553.285714285714,53.34666666666667,0.438,10343.151428571426,2019-02-28
